mode,mode_label,selector_type,bucket,selectivity,selectivity_percent,selected_route,selected_L,threads,beamwidth,K,mem_L,PIPEANN_PQ_MMAP,PIPEANN_PQ_MMAP_DROP_CACHE,query_file,truthset,query_label_file,query_file_size_bytes,gt_file_size_bytes,query_file_size_kb,gt_file_size_kb,measured_peak_rss_kb,adjusted_rss_kb,adjusted_rss_mib,adjustment_formula,label_memory_counted,raw_jsonl_path,log_path,wall_s,recall@10,recall,avg_latency_us,latency_avg_ms,p99_latency_us,latency_p99_ms,qps,actual_route,mean_candidate_count,prefilter_count,graph_count,process_max_rss_kb,program_peak_rss_kb,status
pq_memory,PQ code resident in memory,intersect,u1e-03,0.001,0.1,prefilter,10,1,4,10,0,0,0,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/data/sift_query_1000.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_intersect_u1e-03.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-03.spmat,512008,120008,501,118,29272,28653,27.9814453125,measured_peak_rss_kb - ceil(query_file_bytes/1024) - ceil(gt_file_bytes/1024),True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/residency/pq_memory_intersect_u1e-03.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/residency/pq_memory_intersect_u1e-03.json,0.11023449897766113,100.0,100.0,83.279999,0.08327999900000001,109.0,0.109,11282.930664,prefilter,1000.0,1000,0,28860,28860,ok
pq_disk_no_cache,"PQ code on disk, no memory cache",intersect,u1e-03,0.001,0.1,prefilter,10,1,4,10,0,1,1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/data/sift_query_1000.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_intersect_u1e-03.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-03.spmat,512008,120008,501,118,13772,13153,12.8447265625,measured_peak_rss_kb - ceil(query_file_bytes/1024) - ceil(gt_file_bytes/1024),True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/residency/pq_disk_no_cache_intersect_u1e-03.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/residency/pq_disk_no_cache_intersect_u1e-03.json,0.17922210693359375,100.0,100.0,165.576004,0.165576004,174.0,0.174,5849.70166,prefilter,1000.0,1000,0,13456,13456,ok
pq_memory,PQ code resident in memory,intersect,u3e-03,0.003,0.3,prefilter,10,1,4,10,0,0,0,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/data/sift_query_1000.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_intersect_u3e-03.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u3e-03.spmat,512008,120008,501,118,29288,28669,27.9970703125,measured_peak_rss_kb - ceil(query_file_bytes/1024) - ceil(gt_file_bytes/1024),True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/residency/pq_memory_intersect_u3e-03.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/residency/pq_memory_intersect_u3e-03.json,0.1475083827972412,99.949997,99.949997,122.274002,0.12227400199999999,135.0,0.135,7653.950195,prefilter,3000.0,1000,0,28772,28772,ok
pq_disk_no_cache,"PQ code on disk, no memory cache",intersect,u3e-03,0.003,0.3,prefilter,10,1,4,10,0,1,1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/data/sift_query_1000.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_intersect_u3e-03.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u3e-03.spmat,512008,120008,501,118,13660,13041,12.7353515625,measured_peak_rss_kb - ceil(query_file_bytes/1024) - ceil(gt_file_bytes/1024),True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/residency/pq_disk_no_cache_intersect_u3e-03.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/residency/pq_disk_no_cache_intersect_u3e-03.json,0.3688483238220215,99.949997,99.949997,351.550995,0.351550995,366.0,0.366,2775.700684,prefilter,3000.0,1000,0,13432,13432,ok
pq_memory,PQ code resident in memory,intersect,u1e-02,0.01,1.0,prefilter,10,1,4,10,0,0,0,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/data/sift_query_1000.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_intersect_u1e-02.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-02.spmat,512008,120008,501,118,29280,28661,27.9892578125,measured_peak_rss_kb - ceil(query_file_bytes/1024) - ceil(gt_file_bytes/1024),True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/residency/pq_memory_intersect_u1e-02.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/residency/pq_memory_intersect_u1e-02.json,0.3251361846923828,99.949997,99.949997,267.160004,0.267160004,489.0,0.489,3455.680176,prefilter,10000.0,1000,0,28776,28776,ok
pq_disk_no_cache,"PQ code on disk, no memory cache",intersect,u1e-02,0.01,1.0,prefilter,10,1,4,10,0,1,1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/data/sift_query_1000.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_intersect_u1e-02.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-02.spmat,512008,120008,501,118,13808,13189,12.8798828125,measured_peak_rss_kb - ceil(query_file_bytes/1024) - ceil(gt_file_bytes/1024),True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/residency/pq_disk_no_cache_intersect_u1e-02.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/residency/pq_disk_no_cache_intersect_u1e-02.json,1.5143446922302246,99.949997,99.949997,1464.781006,1.464781006,1806.0,1.806,669.198975,prefilter,10000.0,1000,0,13524,13524,ok
pq_memory,PQ code resident in memory,intersect,u5e-02,0.05,5.0,prefilter,10,1,4,10,0,0,0,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/data/sift_query_1000.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_intersect_u5e-02.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u5e-02.spmat,512008,120008,501,118,29764,29145,28.4619140625,measured_peak_rss_kb - ceil(query_file_bytes/1024) - ceil(gt_file_bytes/1024),True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/residency/pq_memory_intersect_u5e-02.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/residency/pq_memory_intersect_u5e-02.json,0.9538562297821045,99.839996,99.839996,812.356018,0.8123560179999999,937.0,0.937,1092.00708,prefilter,50000.0,1000,0,29636,29636,ok
pq_disk_no_cache,"PQ code on disk, no memory cache",intersect,u5e-02,0.05,5.0,prefilter,10,1,4,10,0,1,1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/data/sift_query_1000.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_intersect_u5e-02.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u5e-02.spmat,512008,120008,501,118,14196,13577,13.2587890625,measured_peak_rss_kb - ceil(query_file_bytes/1024) - ceil(gt_file_bytes/1024),True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/residency/pq_disk_no_cache_intersect_u5e-02.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/residency/pq_disk_no_cache_intersect_u5e-02.json,5.281911373138428,99.839996,99.839996,5153.285156,5.153285156,6705.0,6.705,189.997101,prefilter,50000.0,1000,0,14108,14108,ok
pq_memory,PQ code resident in memory,intersect,u1e-01,0.1,10.0,prefilter,10,1,4,10,0,0,0,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/data/sift_query_1000.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_intersect_u1e-01.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-01.spmat,512008,120008,501,118,30592,29973,29.2705078125,measured_peak_rss_kb - ceil(query_file_bytes/1024) - ceil(gt_file_bytes/1024),True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/residency/pq_memory_intersect_u1e-01.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/residency/pq_memory_intersect_u1e-01.json,1.6474823951721191,99.730003,99.730003,1461.469971,1.461469971,1691.0,1.691,620.140198,prefilter,100000.0,1000,0,30592,30592,ok
pq_disk_no_cache,"PQ code on disk, no memory cache",intersect,u1e-01,0.1,10.0,prefilter,10,1,4,10,0,1,1,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/data/sift_query_1000.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/exp4_intersect_range_selectivity/truth/gt_1m_intersect_u1e-01.bin,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite/labels/query_1000_u1e-01.spmat,512008,120008,501,118,14948,14329,13.9931640625,measured_peak_rss_kb - ceil(query_file_bytes/1024) - ceil(gt_file_bytes/1024),True,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/raw/residency/pq_disk_no_cache_intersect_u1e-01.jsonl,/mnt/bak3/lzg/PipeANN-github/experiments/r116_suite_pq16_aris_20260520_072453/logs/residency/pq_disk_no_cache_intersect_u1e-01.json,9.311909198760986,99.730003,99.730003,9151.599609,9.151599609000002,9341.0,9.341,107.494087,prefilter,100000.0,1000,0,14840,14840,ok
