variant,selector,L,latency_ms,max_rss_kb,rss_bytes,status,notes
original_full_run,range_s10,100,16.203,126616,129654784,fail_latency_fail_rss,global SEARCH_L was too high
selected_L_only,range_s10,40,7.479,126812,129855488,pass_latency_fail_rss,confirmed L=40 fixes latency before RSS optimizations
skip_identity_tags,range_s10,40,8.478,112468,115167232,pass_latency_fail_rss,skips identity id->tag cuckoo entries
hashmin_equal_mapping,range_s10,40,7.978,54952,56270848,pass_latency_fail_rss,default chosen path after empty-map and identity-layout optimizations
readonly_single_buffer,range_s10,40,6.092,54076,55373824,pass_latency_fail_rss,read-only load uses one query buffer and skips background insert thread
pq32_mmap,range_s10,40,10.619,53180,54456320,fail_latency_fail_rss,mmap loads cheaply but touched PQ pages accumulate in RSS
pq32_stream,range_s10,40,19.761,23384,23945216,fail_latency_pass_rss,per-id stream reads avoid RSS but too slow
pq32_stream_cache1024,range_s10,40,39.09,29600,30310400,fail_latency_fail_rss,4MB page cache nearly meets RSS but much slower
pq16_base_vector,range_s10,78,11.867,34172,34992128,fail_latency_fail_rss,base-matched PQ16 needs L=78 for recall>=98 and still fails single-query
pq14_base_vector,range_s10,120,12.907,31812,32575488,fail_latency_fail_rss,base-matched PQ14 passes static recall but fails single-query RSS and latency
pq12_base_vector,range_s10,145,13.446,29656,30367744,fail_latency_fail_rss,base-matched PQ12 uses the minimal static-recall-passing L but still fails strict 30MB maxRSS and latency
pq8_base_static,range_s10,200,8.058,,,fail_recall,PQ8 reaches only 96.00 recall@10 at L=200
query1_only_pq32,range_s10,40,9.076,53480,54763520,pass_latency_fail_rss,single-query runner reads only the first query instead of the full 1000-query file; RSS remains dominated by PQ32/index state
query1_only_pq13,range_s10,121,12.189,30048,30769152,fail_latency_fail_rss,PQ13 with refined minimal-L nearly reaches strict RSS but still exceeds 30MB time peak and exceeds 10ms latency
hashmap_default_probe,range_s10,40,7.480,53664,54951936,pass_latency_fail_rss,lowering libcuckoo global default had negligible single-query RSS effect and was not retained due broad performance risk
